CDSCO Drug Name,FDA Drug Name,Similarity Score,Token Score,Ratio Score,Match Type,CDSCO Approval Date,FDA Approval Date,CDSCO Indication,FDA Indication
paclitaxel,Paclitaxel,1.0,100.0,100.0,Fuzzy,2/24/2011,3/25/97,Advanced epithelial carcinoma of the ovary after failure of first line or subsequent chemotherapy.,Treatment of AIDS-related Kaposi's sarcoma.
octreotide,Octreotide,1.0,100.0,100.0,Fuzzy,6/30/1994,8/24/98,"Acromegaly, gastro-entero pancreatic endocrine tumours, carcinoid syndrome, VIPomas, glucagonomas, Zollinger-Ellison syndrome, insulinomas for pre-operative control of hypoglycaemia.",Treatment of severe diarrhea and flushing associated with malignant carcinoid tumors.
albendazole,Albendazole,1.0,100.0,100.0,Fuzzy,10/1/1979,1/18/96,"Anthelmetic- indicated in the control of Gastro-intestinal roundworm, lungworm, tapewarm & adult liver flukes in cattle, sheep.","Treatment of neurocysticercosis due to Taenia solium as: 1) chemotherapy of parenchymal, subarachnoidal and racemose (cysts in spinal fluid) neurocysticercosis in symptomatic cases and 2) prophylaxis of epilepsy and other sequelae in asymptomatic neurocysticercosis."
ibrutinib,ibrutinib,1.0,100.0,100.0,Fuzzy,10/7/2015,6/23/16,For the treatment of adult patients with:-mantle cell lymphoma (MCL) who have recieved at least one prior therapy.-Chronic Lymphocytic leukemia (CLL) who have recieved at least one prior therapy.- Chronic lymphocytic leukemia with 17p deletion.,Treatment of chronic Graft versus Host disease
posaconazole,posaconazole,1.0,100.0,100.0,Fuzzy,7/18/2009,10/4/16,"For the treatment of oropharyngeal candidiasis, including oropharyngeal candidiasis refractory to itraconazole and/or fluconazole.Â For prophylaxis of invasive Aspergillus and Candida infections in patients, 13 years of age and older, who are at high risk Þ¡",Treatment of invasive aspergillosis
amphotericin b,Liposomal amphotericin B,1.0,100.0,100.0,Fuzzy,8/29/2003,12/10/96,By RMP- for the treatment of invasive fungal infection in patients who are refractory to or intolerant of conventional amphotericin-B therapy.,Treatment of cryptococcal meningitis.
ambrisentan,ambrisentan,1.0,100.0,100.0,Fuzzy,5/28/2010,7/16/04,For the treatment of pulmonary arterial hypertension (WHO Group I) in patients with WHO class II or III symptoms to improve exercise capacity and delay clinical worsening.,Treatment of pulmonary arterial hypertension
bendamustine hydrochloride,bendamustine hydrochloride,1.0,100.0,100.0,Fuzzy,9/19/2014,11/26/13,For the treatment of patients with chronic lymphocytic leukemia.,"Treatment of Follicular Lymphoma, Small Lymphocytic Lymphoma, Lymphoplasmacytic Lymphoma, Splenic Marginal Zone Lymphoma, Extranodal Marginal Zone B-cell Lymphoma of Mucosa-Associated Lymphoma Tissue (MALT), and Nodal Marginal Zone Lymphoma (Collectively Indolent B-cell Non-Hodgkin's Lymphoma)"
ledipasvir + sofosbuvir,ledipasvir/sofosbuvir,1.0,100.0,100.0,Fuzzy,12/8/2015,10/12/16,,Treatment of chronic hepatitis C virus (HCV) infection in pediatric patients
tadalafil,tadalafil,1.0,100.0,100.0,Fuzzy,9/11/2003,12/18/06,1.For the treatment of erectile dysfunction. 2. For the treatment of erectile dysfunction with benign prostatic hyperplasia.,Treatment of pulmonary arterial hypertension
tolvaptan,tolvaptan,1.0,100.0,100.0,Fuzzy,9/6/2012,4/6/12,"For the treatment of clinically significant hypervolemic and euvolemic hyponatremia [serum sodium < 125mEq/L or less marked hyponatremia that is symptomatic and has resisted correction with fluid restriction], including patients with heart failure, cirhosÞ¡",Treatment of autosomal dominant polycystic kidney disease
artemether + lumefantrine,artemether/lumefantrine,1.0,100.0,100.0,Fuzzy,9/30/2008,8/31/07,For the treatment of chloroquine resistant/multidrug resitant on complicated malaria.,For the treatment of infections due to Plasmodium falciparum or mixed infections including P. falciparum.
ivabradine,ivabradine,1.0,100.0,100.0,Fuzzy,5/5/2011,3/23/16,For the treatment of chronic stable angina pectoris in patients with normal sinus rhythm who have a contraindication or intolerance for Beta-blockers.,Treatment of pediatric patients (0 through 16 years of age) with dilated cardiomyopathy.
budesonide,budesonide,1.0,100.0,100.0,Fuzzy,2/1/1988,5/17/10,For the treatment of ulcerative colitis.,To slow the progression of immunoglobulin A nephropathy & delay kidney failure in patients affected by the disease.
ganciclovir sodium,Ganciclovir sodium,1.0,100.0,100.0,Fuzzy,4/5/2000,10/31/85,For the prevention & treatment of cytomegalo virus disease in immuno compromised individuals and for the prevention of CMV disease in transplant receipients.,Treatment of cytomegalovirus retinitis in immunocompromised patients with AIDS.
gabapentin,gabapentin,1.0,100.0,100.0,Fuzzy,1/30/2008,11/8/10,Additional strength by RMP,Management of postherpetic neuralgia
exemestane,Exemestane,1.0,100.0,100.0,Fuzzy,10/18/2001,9/19/91,For Treatment of advanced breast cancer in post menopausal women whose disease has progressed following Tamoxifen therapy.,Treatment of advanced breast cancer in postmenopausal women whose disease has progressed following tamoxifen therapy.
cyclosporin,cyclosporine,1.0,100.0,100.0,Fuzzy,6/27/2000,5/4/07,As additional strength.,Treatment of vernal keratoconjunctivitis
mifepristone,mifepristone,1.0,100.0,100.0,Fuzzy,2/13/2002,7/5/07,By gynaecologist only- for medical termination of intrauterine pregnancy through 49 days of inception.,Treatment of the clinical manifestations of endogenous Cushing's syndrone
rifampicin,Rifampin,1.0,100.0,100.0,Fuzzy,6/1/1983,12/9/85,Anti T.B drug,For antituberculosis treatment where use of the oral form of the drug is not feasible.
ribavirin,ribavirin,1.0,100.0,100.0,Fuzzy,11/1/1990,4/4/03,"Anti viral agent- Acute hepatitis, viral respiratory and herpes infection.",Treatment of chronic hepatitis C in pediatric patients
mesna,Mesna,1.0,100.0,100.0,Fuzzy,5/5/2004,11/14/85,"By oncologist- for the prevention of urothelical toxicity including haemorrhagic cyctitis, microhaematuria and macrohaematuria in patients with ifosfamide and cyclophosphamide in doses considered to be urotoxic.",For use as a prophylactic agent in reducing the incidence of ifosfamide-induced hemorrhagic cystitis.
nimodipine,nimodipine,1.0,100.0,100.0,Fuzzy,8/31/1992,9/16/11,"In the treatment and prevention of ischaemic neurological deficit occuring due to arterial spasm, following sub arachnoid haemorrhage.",Treatment of subarachnoid hemorrhage.
pilocarpine,Pilocarpine,1.0,100.0,100.0,Fuzzy,6/24/1999,9/24/90,For the management of intraocular pressure in glaucoma,Treatment of xerostomia induced by radiation therapy for head and neck cancer.
vemurafenib,vemurafenib,1.0,100.0,100.0,Fuzzy,10/19/2012,12/20/10,For the treatment of patients with unresectable or metastatic melanoma with BRAFV600E mutation as detected by an FDA-approved test. Vemurafenib is not recommended for use in patients with wild-type BRAF melanoma.,Treatment of patients with IIb to Stage IV melanoma positive for the BRAF(v600) mutation
apomorphine hydrochloride,apomorphine hydrochloride,1.0,100.0,100.0,Fuzzy,12/11/2007,4/22/93,,Treatment of the on-off fluctuations associated with late-stage Parkinson's disease.
tranexamic acid,tranexamic acid,1.0,100.0,100.0,Fuzzy,6/15/2007,12/3/85,"Additional indication-abnormal bleeding in which local hyperfibrinolysis is considered to be involved (pulmonary, haemorrhage, epistaxis, renal bleeding abnormal bleeding during or after prostate surgery).","For use in patients with congenital coagulopathies undergoing surgical procedures, e.g. dental extractions"
artesunate,artesunate,1.0,100.0,100.0,Fuzzy,10/7/1996,3/28/06,Promoted for use in severe malaria including cerebral malaria and as a second line in chloroquine resistant malaria cases only.,Immediate treatment of malaria
dexrazoxane,dexrazoxane,1.0,100.0,100.0,Fuzzy,2/26/2002,3/25/04,Prevention of cardiotoxicity of doxorubicin containing chemotherapy regimens.,Treatment of anthracycline extravasation during chemotherapy
panobinostat,panobinostat,1.0,100.0,100.0,Fuzzy,3/27/2016,8/20/12,"In combination with bortezomib and dexamethasone, is indicated for the treatment of patients with multiple myeloma, who received at least 1 prior therapy.",Treatment of multiple myeloma
zalcitabine,Zalcitabine,1.0,100.0,100.0,Fuzzy,7/26/1993,6/28/88,For the treatment of AIDS,Treatment of AIDS.
dabrafenib,dabrafenib,1.0,100.0,100.0,Fuzzy,1/18/2017,2/8/16,As a single agent for the treatment of patients with unresectable or metastatic melanoma with BRAF V600E mutation as detected by an appropriate test. In combination with Trametinib for the treatment of patients with unresectable or metastatic melanoma witÞ¡,Treatment of malignant glioma with BRAF V600 mutation
dichlorphenamide,dichlorphenamide,1.0,100.0,100.0,Fuzzy,1/1/1964,9/2/10,Carbonic anhydrase inhibitor.,Treatment of primary periodic paralyses
difluprednate,difluprednate,1.0,100.0,100.0,Fuzzy,4/1/2010,9/30/08,For the treatment of inflammation and painÂ  associated with ocular surgery.Â ,Treatment of endogenous and traumatic anterior uveitis and panuveitis.
pasireotide,pasireotide,1.0,100.0,100.0,Fuzzy,3/18/2015,7/24/09,"""For the treatment of adult patients with Cushingâ??s Disease for whom Pituitary surgery is not an option or has not been curative"".",Treatment of Cushing's disease
deflazacort,deflazacort,1.0,100.0,100.0,Fuzzy,6/15/2007,8/16/13,Same as approved,Treatment of Duchenne muscular dystrophy
riluzole,Riluzole,1.0,100.0,100.0,Fuzzy,10/17/1997,3/16/93,In the treatment of patients with amyotrophic later sclerosis (motor neurone disease).,Treatment of amyotrophic lateral sclerosis.
basiliximab,Basiliximab,1.0,100.0,100.0,Fuzzy,5/28/1999,12/12/97,For the prophylaxis of acute organ rejection in de-novo transplantation & is to be used concomitantly with cyclosporin for microemulsion & corticosteroid immuno suppression.,Prophylaxis of solid organ rejection.
trametinib,trametinib,1.0,100.0,100.0,Fuzzy,1/18/2017,12/20/10,As a monotherapy and in combination with Dabrafenib for the treatment of patients with unresectable or metastatic melanoma with BRAF V600E mutation as detected by an appropriate test.,Treatment of Stage IIb through Stage IV melanoma
fludarabine phosphate,Fludarabine phosphate,1.0,100.0,100.0,Fuzzy,6/22/1999,4/18/89,The treatment of patients with B-cell chronic lymphocytic leukaemia (CLL) who have not responded to at least one standard alkylating agent containing regimen.,"Treatment of chronic lymphocytic leukemia (CLL), including refractory CLL."
alectinib,alectinib,1.0,100.0,100.0,Fuzzy,1/23/2017,1/27/15,"For the treatment of patients with anaplastic lymphoma kinase (ALK)-Positive, metastatic non-small cell lung cancer (NSCLC) who have progressed on or are intolerant to Crizotinib.",Treatment of ALK-positive non-small cell lung cancer
isotretinoin,Tretinoin,1.0,100.0,100.0,Fuzzy,10/13/2004,10/24/90,"Dermatologists only- cystic & conglobate acne, severe nodular acne unresponsive to antibiotic therapy.",Treatment of acute promyelocytic leukemia.
clonidine,Clonidine,1.0,100.0,100.0,Fuzzy,6/1/1976,1/24/89,,"For continous epidural administration as adjunctive therapy with intraspinal opiates for the treatment of pain in cancer patients tolerant to, or unresponsive to, intraspinal opiates."
desonide,budesonide,1.0,100.0,100.0,Fuzzy,7/3/1997,5/17/10,For the treatment of ulcerative colitis.,To slow the progression of immunoglobulin A nephropathy & delay kidney failure in patients affected by the disease.
eliglustat,eliglustat,1.0,100.0,100.0,Fuzzy,1/31/2017,9/17/08,"For the long term treatment of adult patients with Gaucher disease type 1 who are CYP2D6 extensive metabolizers (Ems), intermediate metabolizers (Ims), or poor metabolizers (PMs) as detected by an appropriate test.",Treatment of Type I Gaucher disease
nafarelin acetate,Nafarelin acetate,1.0,100.0,100.0,Fuzzy,3/17/1999,7/20/88,Endometriosis and central precarious puberty only (for gynaecologist only),Treatment of central precocious puberty.
thiabendazole,triclabendazole,1.0,100.0,100.0,Fuzzy,7/1/1968,4/17/17,,Treatment of fascioliasis
trastuzumab,trastuzumab,1.0,100.0,100.0,Fuzzy,7/10/2000,10/13/09,By cancer specialist-in metastatic breast cancer who have tumours that over express human epidermal growth factor receptor-2 (HER2),"Treatment of HER2-overexpressing advanced adenocarcinoma of the stomach, including gastroesophageal junction"
modafinil,Modafinil,1.0,100.0,100.0,Fuzzy,12/16/2003,3/15/93,By neurologists/psychiatrists/specialists only- to improve wakefulness in patients with excessive day time sleepiness associated with narcolepsy.,Treatment of excessive daytime sleepiness in narcolepsy.
daclizumab,Daclizumab,1.0,100.0,100.0,Fuzzy,10/12/2000,3/5/93,"By hospital, nursing homes, institution only. For prophylaxis in acute organ rejection in patients receiving transplants.",Prevention of acute renal allograft rejection.
ceritinib,ceritinib,1.0,100.0,100.0,Fuzzy,7/3/2015,9/27/13,For the treatment of patients withÂ anaplasticÂ lymphomaÂ kinaseÂ (ALK)-positive metastatic non-small cell lung cancer (NSCLC) who haveÂ progressed on or are intolerant toÂ crizotinib.,Treatment of patients with non-small cell lung cancer (NSCLC) that is anaplastic lymphoma kinase(ALK)-positive
gemtuzumab ozogamicin,Gemtuzumab ozogamicin,1.0,100.0,100.0,Fuzzy,9/12/2002,11/24/99,Treatment of acute myeloid leukemia,Treatment of acute myeloid leukemia
cladribine,Cladribine,1.0,100.0,100.0,Fuzzy,9/9/2003,11/15/90,Anti cancer.,Treatment of hairy cell leukemia.
teriparatide,Teriparatide,1.0,100.0,100.0,Fuzzy,9/4/2003,1/9/87,For osteoporosis.,Diagnostic agent to assist in establishing the diagnosis in patients presenting with clinical and laboratory evidence of hypocalcemia due to either hypoparathyroidism or pseudohypoparathyroidism.
infliximab,Infliximab,1.0,100.0,100.0,Fuzzy,9/1/2004,11/12/03,Reduction of signs & symptoms of rheumatoid arthritis in patients who have an inadequate response to methotrexate (additional indication).,Treatment of pediatric (0 to 16 years of age) Crohn's Disease
moxidectin,moxidectin,1.0,100.0,100.0,Fuzzy,1/16/1997,9/29/10,In the treatment and control of internal and external parasites in cattle.,Treatment of onchocerciasis volvulus in children and adults
gemcitabine,decitabine,1.0,100.0,100.0,Fuzzy,10/1/2004,3/8/99,In the management of non small cell lung cancer.,Treatment of myelodysplastic syndromes.
ifosfamide,Ifosfamide,1.0,100.0,100.0,Fuzzy,3/1/1979,1/20/87,To be supplied only against demand from hospitals/ cancer institutions for their use and against prescription of cancer specialists,Treatment of testicular cancer.
fomepizole,fomepizole,1.0,100.0,100.0,Fuzzy,3/14/2016,12/22/88,"As an antidote for Ethylene glycol or Methanol used poisoning or for use in suspected Ethylene glycol or Methanol ingestion, either alone or in combination with hemodialysis.",Treatment of methanol or ethylene glycol poisoning.
pegaspargase,Pegaspargase,1.0,100.0,100.0,Fuzzy,3/7/2014,10/20/89,Indicated as a component of multi agent chemotherapeutic regimen for the treatment of patients with acute lymphoblastic leukemia who are hypersensitive to asparaginase.,Treatment of acute lymphocytic leukemia.
valganciclovir,ganciclovir,1.0,100.0,100.0,Fuzzy,11/20/2003,3/22/07,For the treatment of cytomegalovirus (CMV) retinitis in AIDS patients and for prevention of CMV disease in solid organ transplant patients at high risk.,Treatment of acute herpetic keratitis (dendritic and geographic ulcers)
amifostine,Amifostine,1.0,100.0,100.0,Fuzzy,6/26/1905,5/30/90,NOC issued for additional indication; for use in association with standard fractionated radiation therapy to protec aganst acute and late xeroxtomia in hand and neck cancer.,For use as a chemoprotective agent for cisplatin in the treatment of advanced ovarian carcinoma.
hydroxycobalamine,Hydroxocobalamin,1.0,100.0,100.0,Fuzzy,7/1/1961,11/25/03,"Same as vitamin B12 quicker, higher & prolonged blood .",Treatment of acute cyanide poisoning
temsirolimus,Temsirolimus,1.0,100.0,100.0,Fuzzy,12/15/2010,12/16/04,For the treatment of advanced renal cell carcinoma,Treatment of renal cell carcinoma
parbendazole,Albendazole,1.0,100.0,100.0,Fuzzy,2/1/1973,1/18/96,Treatment of Helmenthiasis,"Treatment of neurocysticercosis due to Taenia solium as: 1) chemotherapy of parenchymal, subarachnoidal and racemose (cysts in spinal fluid) neurocysticercosis in symptomatic cases and 2) prophylaxis of epilepsy and other sequelae in asymptomatic neurocysticercosis."
propranolol,propranolol,1.0,100.0,100.0,Fuzzy,12/1/1987,9/5/08,,Treatment of proliferating infantile hemangiomas requiring systemic therapy
altretamine,Altretamine,1.0,100.0,100.0,Fuzzy,3/29/1995,2/9/84,"For palliative treatment of patients with persistent or recurrent ovarian cancer, following first line therapy with cisplatin and/or alkylating agent based combination.",Treatment of advanced adenocarcinoma of the ovary.
balofloxacin,Ofloxacin,1.0,100.0,100.0,Fuzzy,12/23/2009,4/18/91,For the treatment of uncomplicated urinary tract infectins (such as cystitis or urethritis),Treatment of bacterial corneal ulcers.
epirubicin,Epirubicin,1.0,100.0,100.0,Fuzzy,7/1/1986,9/14/99,"Anti cancer drug- Indicated in the treatment of breast cancer, malignant lymphomas, soft tissue sarcoma, gastric lung and ovarian carcinomas.",Treatment of breast cancer.
clobazam,clobazam,1.0,100.0,100.0,Fuzzy,11/11/1997,12/18/07,Acute and chronic anxiety states and as an adjunctive therapy in patients with refractory epilepsy.,Treatment of Lennox-Gastaut Syndrome
glycopyrrolate,glycopyrrolate,1.0,100.0,100.0,Fuzzy,9/1/1979,6/9/06,,Treatment of pathologic (chronic moderate to severe) drooling in pediatric patients
arsenic trioxide,Arsenic trioxide,1.0,100.0,100.0,Fuzzy,12/6/2003,3/3/98,For induction of remission and consolidation in patients with acute promyelocytic leukemia.,Treatment of acute promyelocytic leukemia.
filgrastim,Filgrastim,1.0,100.0,100.0,Fuzzy,9/30/1993,10/1/90,,Treatment of neutropenia associated with bone marrow transplants.
temozolomide,temozolomide,1.0,100.0,100.0,Fuzzy,3/31/2008,10/5/98,"For the treatment of; i) Adult patients with newly-diagnosed glioblastoma multiforme concomitantly with radiotherapy (RT) and subsequently as monotherapy treatment. Ii) Children from the age of three years, adolescents and adult patients with malignant giÞ¡",Treatment of recurrent malignant glioma.
carfilzomib,carfilzomib,1.0,100.0,100.0,Fuzzy,1/17/2017,1/18/08,Relapsed or refractory multiple myeloma i) Carfilzomib for injection is indicated in combination with dexamethasone or with lenalidomide plus dexamethasone for the treatment of patients with relapsed or refractory multiple myeloma who have received one Þ¡,Treatment of multiple myeloma
plerixafor,plerixafor,1.0,100.0,100.0,Fuzzy,1/31/2012,7/10/03,In combination with Granulocyte Colony Stimulating Factor (G-CSF) to enhance mobilisation of hematopoietic stem cells to the peripheral blood for collection and subsequent autologous hematopoeitic stem cells transplantation in patients with non-Hodgkinâ??sÞ¡,For use to improve the yield of progentor cells in the apheresis product for subsequest stem cell transplantation following myelosuppressive or myeloablative chemotherapy
regorafenib,regorafenib,1.0,100.0,100.0,Fuzzy,7/1/2014,1/12/11,"For the â??treatment of patients with metastatic colorectal cancer (CRC) who have been previously treated with fluoropyrimidine-, oxaliplatin- and irinotecan-based chemotherapy, an anti-VEGF therapy, and, if KRAS wild type, an anti-EGFR therapyâ?�.",Treatment gastrointestinal stromal tumors
tetrabenazine,Tetrabenazine,1.0,100.0,100.0,Fuzzy,3/10/1999,12/11/97,"In treatment of movement disorders associated with organic CNS conditions like Huntington's chorea, hemiballismus and senil chorea.",Treatment of Huntington's disease
amantadine hydrochloride,Amantadine hydrochloride,1.0,100.0,100.0,Fuzzy,12/1/1972,4/9/15,Parkinsonism,Treatment of levodopa-induced dyskinesia
botulinum toxin type-a,Botulinum toxin type A,1.0,100.0,100.0,Fuzzy,6/2/2011,3/22/84,Additional indication of cerebral palsey & cervical dystonia.,Treatment of strabismus and blepharospasms
megestrol acetate,Megestrol acetate,1.0,100.0,100.0,Fuzzy,12/5/2012,4/13/88,Oral contraceptive,"Treatment of patients with anorexia, cachexia, or significant weight loss (=/>10% of baseline body weight) and confirmed diagnosis of AIDS."
pentosan polysulfate sodium,Pentosan polysulfate sodium,1.0,100.0,100.0,Fuzzy,5/11/2010,8/7/85,For the relief of bladder pain or discomfort associated with interstitial cystitis.,Treatment of interstitial cystitis.
lenvatinib,lenvatinib,1.0,100.0,100.0,Fuzzy,12/2/2016,3/27/14,"For the treatment of patients with locally recurrent or metastatic, progressive, radioactive iodine refractory differentiated thyroid cancer.",Treatment of hepatocellular carcinoma
armodafinil,Modafinil,1.0,100.0,100.0,Fuzzy,4/23/2010,3/15/93,"To improve wakefulness in patients with excessive sleepiness associated with treated obstructive sleep apnea (OSA), shift work sleep disorder (SWD) or narcolepsy.",Treatment of excessive daytime sleepiness in narcolepsy.
sorafenib,Sorafenib,1.0,100.0,100.0,Fuzzy,1/22/2008,4/20/06,For the treatment of patients with advanced renal cell carcinoma.,Treatment of hepatocellular carcinoma
ofloxacin,Ofloxacin,1.0,100.0,100.0,Fuzzy,9/20/2001,4/18/91,"Antibacterial agents- For the treatment of respiratory tract infection, UTI, gynaecological infection, skin or soft tissue infection.",Treatment of bacterial corneal ulcers.
sirolimus,sirolimus,1.0,100.0,100.0,Fuzzy,12/1/2003,10/31/12,For prophylaxis of organ rejection in patients receiving renal transplant along with the regimens of cyclosporins & corticosteroids.,Treatment of lymphangioleiomyomatosis
gefitinib,gefitinib,1.0,100.0,100.0,Fuzzy,12/18/2009,8/26/14,Anticancer,Treatment of epidermal growth factor receptor mutation-positive non-small cell lung cancer
lenalidomide,lenalidomide,1.0,100.0,100.0,Fuzzy,5/16/2007,9/20/01,For the treatment of patients with transfusion dependent anemia due to low or intermediate-1-risk myalodysplastic syndromes associated with a deletion 5q cytogenetic abnormality with or without additional cytogenetic abnormalities.,Treatment of multiple myeloma
aripiprazole,aripiprazole,1.0,100.0,100.0,Fuzzy,6/11/2003,1/25/06,For the treatment of schizophrenia.,Treatment of Tourette's syndrome
dexamethasone,dexamethasone,1.0,100.0,100.0,Fuzzy,1/16/2010,3/26/18,Oncologists only- for steroid responsive neoplastic disease like leukemias and lymphomas in adults only.,Treatment of multiple myeloma (MM)
