CDSCO Drug Name,FDA Drug Name,Similarity Score,Token Score,Ratio Score,Match Type,CDSCO Approval Date,FDA Approval Date,CDSCO Indication,FDA Indication
Lidocaine patch 5%,Lidocaine patch 5%,1.0,100.0,100.0,Fuzzy,31.03.09,10/24/95,For the relief of pain associated with post-herpetic neuralgia. It should be applied only to intact skin.,"For relief of allodynia (painful hypersensitivity), and chronic pain in postherpetic neuralgia."
Amifostine,Amifostine,1.0,100.0,100.0,Fuzzy,6/11/2000,5/30/90,NOC issued for additional indication; for use in association with standard fractionated radiation therapy to protec aganst acute and late xeroxtomia in hand and neck cancer.,For use as a chemoprotective agent for cisplatin in the treatment of advanced ovarian carcinoma.
Gefitinib,gefitinib,1.0,100.0,100.0,Fuzzy,17/02/2004,8/26/14,Anticancer,Treatment of epidermal growth factor receptor mutation-positive non-small cell lung cancer
Clostridium botulinum toxin type-A,Botulinum toxin type A,1.0,100.0,100.0,Fuzzy,27.09.07,3/22/84,For the treatment of benign essential blepharospasm in patients 18 years of age and above.,Treatment of strabismus and blepharospasms
Aprotinin,Aprotinin,1.0,100.0,100.0,Fuzzy,1974,11/17/93,,"For prophylactic use to reduce perioperative blood loss and the homologous blood transfusion requirement in patients undergoing cardiopulmonary bypass surgery in the course of repeat coronary artery bypass graft surgery, and in selected cases of primary coronary artery bypass graft surgery where the risk of bleeding is especially high (impaired hemostasis) or where transfusion is unavailable or unacceptable."
Ribavirin,ribavirin,1.0,100.0,100.0,Fuzzy,1990- November,4/4/03,"Anti viral agent- Acute hepatitis, viral respiratory and herpes infection.",Treatment of chronic hepatitis C in pediatric patients
Hydroxycobalamine,Hydroxocobalamin,1.0,100.0,100.0,Fuzzy,1961- July,11/25/03,"Same as vitamin B12 quicker, higher & prolonged blood .",Treatment of acute cyanide poisoning
Mitomycin-C,mitomycin-C,1.0,100.0,100.0,Fuzzy,1972-December,1/8/08,,Treatment of refractory glaucoma as an adjunct to surgery
Meloxicam,meloxicam,1.0,100.0,100.0,Fuzzy,16/02/1999,11/22/02,For the treatment of rheumatoid arthritis and soteoarthritis.,Treatment of juvenile rheumatoid arthritis
Lamotrigine,Lamotrigine,1.0,100.0,100.0,Fuzzy,21-01-2000,8/23/95,,Treatment of Lennox-Gastaut syndrome.
Budesonide,budesonide,1.0,100.0,100.0,Fuzzy,17.06.08,5/17/10,For the treatment of ulcerative colitis.,To slow the progression of immunoglobulin A nephropathy & delay kidney failure in patients affected by the disease.
Teriparatide,Teriparatide,1.0,100.0,100.0,Fuzzy,04.09.2003,1/9/87,For osteoporosis.,Diagnostic agent to assist in establishing the diagnosis in patients presenting with clinical and laboratory evidence of hypocalcemia due to either hypoparathyroidism or pseudohypoparathyroidism.
Cladribine,Cladribine,1.0,100.0,100.0,Fuzzy,09.09.2003,11/15/90,Anti cancer.,Treatment of hairy cell leukemia.
Albendazole,Albendazole,1.0,100.0,100.0,Fuzzy,1979-October,1/18/96,"Anthelmetic- indicated in the control of Gastro-intestinal roundworm, lungworm, tapewarm & adult liver flukes in cattle, sheep.","Treatment of neurocysticercosis due to Taenia solium as: 1) chemotherapy of parenchymal, subarachnoidal and racemose (cysts in spinal fluid) neurocysticercosis in symptomatic cases and 2) prophylaxis of epilepsy and other sequelae in asymptomatic neurocysticercosis."
Mebendazole,mebendazole,1.0,100.0,100.0,Fuzzy,1974- December,9/3/14,"Broad spectrum anthelmentic- For the treatment of enterobiasis as carriasis, trichuriasis ancyclostomiasis, strongylodiasis (pin warm, large round warm, whip warm, hooks warm and thread warm.","Treatment of single or mixed gastrointestinal infestations by Trichuris trichiura (whipworm), Ascaris lumbricoides (large roundworm), and Ancylostoma duodenale and Nectar americanus (hookworm)."
Tinidazole,tinidazole,1.0,100.0,100.0,Fuzzy,1974-February,4/18/02,Trichomonial agent- for the treatment of trichomoniasis & intestinal amoebiasis.,Treatment of giardiasis
Fenfluramine Hcl,fenfluramine HCI,0.975,93.75,93.75,Fuzzy,1972-December,12/20/13,,For the Treatment of Dravet Syndrome
Amphotericin B lipid complex inj.,Amphotericin B lipid complex,0.975,100.0,93.33333333333333,Fuzzy,12/7/1996,12/5/91,By RMP- for the treatment of invasive fungal infection in patients who are refractory to or intolerant of conventional amphotericin-B therapy.,Treatment of invasive fungal infections.
Artemether + Lumifantrine,artemether/lumefantrine,0.9735177865612649,95.65217391304348,95.65217391304348,Fuzzy,26/12/2002,8/31/07,For hospital use only- for treatment of p.falciparum malaria cases resistant to both chloroquine and sulphadoxine pyrimethamine combination.,For the treatment of infections due to Plasmodium falciparum or mixed infections including P. falciparum.
Doxorubicin Hcl liposomal injection,doxorubicin HCL liposome injection,0.97056786350904,95.65217391304348,95.65217391304348,Fuzzy,2005-April,12/29/04,"For additional indication; in the treatment of metastatic breast cancer, where there is an increased cardiac risk.",Treatment of multiple myeloma
Gemtuzumab ozogamicin inj.,Gemtuzumab ozogamicin,0.968,100.0,91.30434782608697,Fuzzy,12/9/2002,11/24/99,Treatment of acute myeloid leukemia,Treatment of acute myeloid leukemia
Arsenic trioxide inj,Arsenic trioxide,0.96,100.0,88.88888888888889,Fuzzy,12/6/2003,3/3/98,For induction of remission and consolidation in patients with acute promyelocytic leukemia.,Treatment of acute promyelocytic leukemia.
Etidronate disodium tabs,Etidronate disodium,0.9583333333333333,100.0,88.37209302325581,Fuzzy,10/3/1995,3/21/86,Hypercalcemia induced by various malignant disorders.,Treatment of hypercalcemia of malignancy inadequately managed by dietary modification and/or oral hydration.
Pilocarpine hcl tab,Pilocarpine HCl,0.9578947368421054,100.0,88.23529411764706,Fuzzy,13-03-2003,2/28/92,For treatment of radiation induced xerostomia in patients undergoing radiotherapy of head & neck cancer and in patients with sjogren's syndrome.,Treatment of xerostomia and keratoconjunctivitis sicca in Sjogren's syndrome patients.
Somatropin (rDNA) injection,Somatropin for injection,0.9502424242424242,90.9090909090909,89.79591836734694,Fuzzy,25/11/2004,11/15/91,"For additional indication; i)-for treatment of adult onset or childhood onset, adult growth hormone deficiency, ii)-long term treatment of idiopathic short stature also called non growth hormone deficient short stature. Shelf life increase 24 months to 36Þ¡",Treatment of AIDS-associated catabolism/weight loss.
Aripiprazole tab,aripiprazole,0.95,100.0,85.71428571428572,Fuzzy,11/6/2003,1/25/06,For the treatment of schizophrenia.,Treatment of Tourette's syndrome
Naltrexone hcl tabs,Naltrexone HCl,0.9473684210526316,100.0,84.84848484848484,Fuzzy,11/10/1996,3/11/85,In the treatment of narcotic antagonist and alcohol dependence.,For blockade of the pharmacological effects of exogenously administered opioids as an adjunct to the maintenance of the opioid-free state in detoxified formerly opioid-dependent individuals.
Mefloquine hcl tabs,mefloquine HCL,0.9473684210526316,100.0,84.84848484848484,Fuzzy,3/3/1997,4/13/88,Used in severe malaria including cerebral malaria and as a second line chloroquine resistant malaria cases only.,"For use in the treatment of acute malaria due to Plasmodium falciparum and Plasmodium vivax, and for the prophylaxis of Plasmodium falciparum malaria which is resistant to other available drugs"
Basiliximab inj.,Basiliximab,0.9466666666666667,100.0,84.61538461538461,Fuzzy,28-05-1999,12/12/97,For the prophylaxis of acute organ rejection in de-novo transplantation & is to be used concomitantly with cyclosporin for microemulsion & corticosteroid immuno suppression.,Prophylaxis of solid organ rejection.
Lamotrigine tab,Lamotrigine,0.9466666666666667,100.0,84.61538461538461,Fuzzy,5/3/2002,8/23/95,"Deletion of box warning on label/carton stating ""the drug is contraindicated in children below 16 years of age""",Treatment of Lennox-Gastaut syndrome.
Pilocarpine gel,Pilocarpine,0.9466666666666667,100.0,84.61538461538461,Fuzzy,24-06-1999,9/24/90,For the management of intraocular pressure in glaucoma,Treatment of xerostomia induced by radiation therapy for head and neck cancer.
Hydroxyurea USP,Hydroxyurea,0.9466666666666667,100.0,84.61538461538461,Fuzzy,1971- January,10/1/90,Anti neuplastic agent.,Treatment of patients with sickle cell anemia as shown by the presence of hemoglobin S.
Magestrol acetate,Megestrol acetate,0.9459558823529411,94.11764705882354,94.11764705882352,Fuzzy,1964- April,4/13/88,Progestational,"Treatment of patients with anorexia, cachexia, or significant weight loss (=/>10% of baseline body weight) and confirmed diagnosis of AIDS."
Zidovudine tab,zidovudine,0.9428571428571428,100.0,83.33333333333334,Fuzzy,18/12/1998,7/17/85,Additional strength for HIV.,Treatment of AIDS
Infliximab inj.,Infliximab,0.9428571428571428,100.0,83.33333333333334,Fuzzy,4/10/2001,11/12/03,Reduction of signs & symptoms of rheumatoid arthritis in patients who have an inadequate response to methotrexate (additional indication).,Treatment of pediatric (0 to 16 years of age) Crohn's Disease
Exemestane tab,Exemestane,0.9428571428571428,100.0,83.33333333333334,Fuzzy,18-10-2001,9/19/91,For Treatment of advanced breast cancer in post menopausal women whose disease has progressed following Tamoxifen therapy.,Treatment of advanced breast cancer in postmenopausal women whose disease has progressed following tamoxifen therapy.
Paclitaxel inj.,Paclitaxel,0.9428571428571428,100.0,83.33333333333334,Fuzzy,25/08/1994,3/25/97,Advanced epithelial carcinoma of the ovary after failure of first line or subsequent chemotherapy.,Treatment of AIDS-related Kaposi's sarcoma.
Raloxifene hcl,raloxifene,0.9428571428571428,100.0,83.33333333333334,Fuzzy,4/5/2001,7/14/05,For the treatment and prevention of post menopausal osteoporosis in women.,Reduction of the risk of breast cancer in postmenopausal women
Artesunate inj.,artesunate,0.9428571428571428,100.0,83.33333333333334,Fuzzy,2/9/1996,3/28/06,Promoted for use in severe malaria including cerebral malaria and as a second line in chloroquine resistant malaria cases only.,Immediate treatment of malaria
Metronidazole tab,Metronidazole (topical),0.9406162464985994,86.66666666666667,84.21052631578947,Fuzzy,7/2/2002,10/22/87,Removal of warning of carcinogenicity in rodents.,Treatment of acne rosacea.
Sotalol,sotalol (IV),0.9400000000000001,100.0,82.35294117647058,Fuzzy,1978-August,7/25/08,"Beta-blocker- indicated in the treatment of angina pectoris, hypertension, cardiac arrythmias.","For ventricular tachycardia, ventricular fibrillation, or the maintenance of sinus rhythm in patients converted from atrial fibrillation or atrial flutter when oral administration is not possible."
Sirolimus tab,sirolimus,0.9384615384615385,100.0,81.81818181818181,Fuzzy,31-12-2002,10/31/12,For prophylaxis of organ rejection in patients receiving renal transplant along with the regimens of cyclosporins & corticosteroids.,Treatment of lymphangioleiomyomatosis
Clonidine Hcl,Clonidine,0.9384615384615385,100.0,81.81818181818181,Fuzzy,1975-July,1/24/89,,"For continous epidural administration as adjunctive therapy with intraspinal opiates for the treatment of pain in cancer patients tolerant to, or unresponsive to, intraspinal opiates."
Meloxicam inj.,meloxicam,0.9384615384615385,100.0,81.81818181818181,Fuzzy,2/4/2002,11/22/02,Painful inflammatory conditions including arthritis in animals as well as pyrexia.,Treatment of juvenile rheumatoid arthritis
Thalidomide caps,Thalidomide,0.9375,100.0,81.4814814814815,Fuzzy,12/8/2002,10/14/98,For acute treatment of the cutaneous manifestation of moderate to severe erythema nodosum loprosum and for the treatment of multiple myeloma.,Treatment of multiple myeloma
Artesunate tabs,artesunate,0.9333333333333333,100.0,80.0,Fuzzy,7/10/1996,3/28/06,,Immediate treatment of malaria
Gabapentin caps,gabapentin,0.9333333333333333,100.0,80.0,Fuzzy,3/8/1995,11/8/10,Epilepsy.,Management of postherpetic neuralgia
Clonidine Bulk,Clonidine,0.9285714285714286,100.0,78.26086956521739,Fuzzy,1981-March,1/24/89,Antihypertensive,"For continous epidural administration as adjunctive therapy with intraspinal opiates for the treatment of pain in cancer patients tolerant to, or unresponsive to, intraspinal opiates."
Leuprolide acetate depot inj.,Leuprolide acetate,0.9285714285714286,100.0,78.26086956521739,Fuzzy,17-07-2001,7/25/88,For additional indicatio; of endometriosis & uterine leiomyomata in women.,Treatment of central precocious puberty
Pentosan polysulfate Sodium CapsulesÂ  100mg,Pentosan polysulfate sodium,0.9255813953488373,100.0,77.14285714285715,Fuzzy,11.05.10,8/7/85,For the relief of bladder pain or discomfort associated with interstitial cystitis.,Treatment of interstitial cystitis.
Budesonide enema,budesonide,0.925,100.0,76.92307692307692,Fuzzy,5/8/2005,5/17/10,For the treatment of ulcerative colitis involving rectal & rectosigmoid diseases.,To slow the progression of immunoglobulin A nephropathy & delay kidney failure in patients affected by the disease.
Dexamethasone tablets,dexamethasone,0.9238095238095239,100.0,76.47058823529412,Fuzzy,2/11/2004,3/26/18,Oncologists only- for steroid responsive neoplastic disease like leukemias and lymphomas in adults only.,Treatment of multiple myeloma (MM)
Metronidazole,Metronidazole (topical),0.9238095238095239,100.0,76.47058823529412,Fuzzy,1978-November,10/22/87,,Treatment of acne rosacea.
Regorafenib Tablet,regorafenib,0.9222222222222222,100.0,75.86206896551724,Fuzzy,01.07.14,1/12/11,"For the â??treatment of patients with metastatic colorectal cancer (CRC) who have been previously treated with fluoropyrimidine-, oxaliplatin- and irinotecan-based chemotherapy, an anti-VEGF therapy, and, if KRAS wild type, an anti-EGFR therapyâ?�.",Treatment gastrointestinal stromal tumors
Allopurinol,Allopurinol sodium,0.9222222222222222,100.0,75.86206896551724,Fuzzy,1969- March,10/16/92,In the treatment of gout and secondry hyperuricaemia.,"Management of patients with leukemia, lymphoma, and solid tumor malignancies who are receiving cancer therapy which causes elevations of serum and urinary uric acid levels and who cannot tolerate oral therapy."
Botulinum toxin type-A i.m injection,Botulinum toxin type A,0.9222222222222222,100.0,75.86206896551724,Fuzzy,13/01/1994,3/22/84,For the treatment of blepharospasm hemifacial spasm associated focal dystonias.,Treatment of strabismus and blepharospasms
Aripiprazole tablets,aripiprazole,0.92,100.0,75.0,Fuzzy,23/02/2004,1/25/06,Psychiatrist only- for the treatment of schizophrenia.,Treatment of Tourette's syndrome
Fludarabine Phosphate for Injection,Fludarabine phosphate,0.92,100.0,75.0,Fuzzy,22/06/1999,4/18/89,The treatment of patients with B-cell chronic lymphocytic leukaemia (CLL) who have not responded to at least one standard alkylating agent containing regimen.,"Treatment of chronic lymphocytic leukemia (CLL), including refractory CLL."
Rosuvastatin calcium,rosuvastatin,0.92,100.0,75.0,Fuzzy,2003,2/14/14,,For the treatment of pediatric homozygous familial hypercholesterolemia
Fosphenytoin sod. Inj.,Fosphenytoin,0.92,100.0,75.0,Fuzzy,1/10/2002,6/4/91,"Generalized convulsive status epilepticus, prevention & treatment of seizures occurring during neurosurgery & head injury when other means of phenytoin administration are unavailable, inappropriate or less advantageous.",For the acute treatment of patients with status epilepticus of the grand mal type.
Hydroxyurea tablets,Hydroxyurea,0.9157894736842105,100.0,73.33333333333334,Fuzzy,2004-April,10/1/90,,Treatment of patients with sickle cell anemia as shown by the presence of hemoglobin S.
Miltefosine capsule,miltefosine,0.9157894736842105,100.0,73.33333333333334,Fuzzy,15/03/2002,10/10/06,For the treatment of visceral leishmaniasis.,Treatment of leishmaniasis.
Lamotrigine tablets,Lamotrigine,0.9157894736842105,100.0,73.33333333333334,Fuzzy,14/05/1998,8/23/95,Add on therapy for partial and secondry generalised tonic-clonic seizures in adults not below 16 years of age.,Treatment of Lennox-Gastaut syndrome.
Somatropin injection (rDNA),Somatropin for injection,0.9138787878787878,90.9090909090909,81.63265306122449,Fuzzy,4/2/1998,11/15/91,Longterm treatment of children who have growth failure failure due to inadequate secretion of normal endogenous growth hormone and for treatment of short stature in children with Turner's syndrome confirmed by chromosomal analysis.,Treatment of AIDS-associated catabolism/weight loss.
Fenfluramine hcl SR caps.,fenfluramine HCI,0.9125,85.71428571428571,75.0,Fuzzy,9/7/1993,12/20/13,,For the Treatment of Dravet Syndrome
Midazolam inj. BP,midazolam,0.9125,100.0,72.0,Fuzzy,15/04/1997,10/20/09,Anaesthetic general-For preoperative sedation for conscious sedation prior to short diagnostic or endoscopic procedure and for induction of general anaesthesia prior to administration of another anaesthetic agent.,"Rescue treatment of seizures in patients who require control of intermittent bouts of increased seizure activity (e.g. acute repetitive seizures, seizure clusters)"
Ofloxacin ER tab,Ofloxacin,0.9125,100.0,72.0,Fuzzy,20-09-2001,4/18/91,"By RMP- for LRTI, complicated UTI, uncomplicated skin, soft tissue infections.",Treatment of bacterial corneal ulcers.
Ibuprofen,Ibuprofen lysine,0.9125,100.0,72.0,Fuzzy,1979-April,10/29/96,,Treatment of patent ductus arteriosus
Leuprolide acetate sepot for inj.,Leuprolide acetate,0.9125,100.0,72.0,Fuzzy,10-12-1997 to 10-12-1999,7/25/88,Indicated for the treatment of prostatic cancer only.,Treatment of central precocious puberty
Budesonide inhaler,budesonide,0.9111111111111111,100.0,71.42857142857143,Fuzzy,1988-February,5/17/10,Anti asthmatic- Indicated in the treatment of bronchial asthma.,To slow the progression of immunoglobulin A nephropathy & delay kidney failure in patients affected by the disease.
Everolimus tablets,everolimus,0.9111111111111111,100.0,71.42857142857143,Fuzzy,2004-August,2/14/08,By nephrologists only- for the prophylaxis of organ rejection in patients at low to moderate immunological risks receiving allogenic renal transplants in combination with cyclosporin & corticosteroids.,Treatment of neuroendocrine tumors
Sildenafil citrate,sildenafil,0.9111111111111111,100.0,71.42857142857143,Fuzzy,8/1/2001,7/28/11,"By urologist, psychiatrist, endocrinologist-for treatment of erectile dysfunction in men.",Treatment of pediatric (defined as children less than 17 years of age) pulmonary arterial hypertension
Tranexamic acid tablets/inj.,tranexamic acid,0.9111111111111111,100.0,71.42857142857143,Fuzzy,6/6/2003,12/3/85,"Additional indication-abnormal bleeding in which local hyperfibrinolysis is considered to be involved (pulmonary, haemorrhage, epistaxis, renal bleeding abnormal bleeding during or after prostate surgery).","For use in patients with congenital coagulopathies undergoing surgical procedures, e.g. dental extractions"
Dexamethasone Intravitreal implant 0.7mg (Additional Indication),dexamethasone intravitreal implant,0.9096774193548387,100.0,70.83333333333333,Fuzzy,12.10.15,9/11/98,"For the treatment of visual impairment due to Diabetic Macular Edema (DME) who are pseudophakic or who are considered insufficiently responsive to, or unsuitable for non-corticosteroid therapy.","Treatment of non-infectious ocular inflammation of the posterior segment in patients with intermediate, posterior, and panuveitis"
Leuprolide acetate (3 months) depot,Leuprolide acetate,0.9090909090909091,100.0,70.58823529411764,Fuzzy,3/12/2003,7/25/88,"For additional indication; ""advanced prostatic cancer"", subject to all condition of MF 1447/04 dated 26-05-2004. 3 months depot, 11.25mg/vial, injection.",Treatment of central precocious puberty
Fluocinolone acetonide,Fluocinolone,0.9090909090909091,100.0,70.58823529411764,Fuzzy,1962- August,7/31/00,Corticosteroid,Treatment uveitis involving the posterior segment of the eye.
Mitoxantrone injection,Mitoxantrone,0.9090909090909091,100.0,70.58823529411764,Fuzzy,1989-March,8/13/99,"Anti cancer- Indicated in the treatment of acute non-lymphotic leukaemia, breast cancer, non-hodgkins lymphoma.",Treatment of secondary-progressive multiple sclerosis.
Mitoxantrone bulk drug,Mitoxantrone,0.9090909090909091,100.0,70.58823529411764,Fuzzy,1989-March,8/13/99,,Treatment of secondary-progressive multiple sclerosis.
Sodium picosulphate,sodium thiosulfate,0.9086988304093567,81.08108108108108,81.08108108108108,Fuzzy,11/2/1997,3/17/04,"Constipation bowel clearance before labour or surgery, radiological examination.",Prevention of platinum-induced ototoxicity in pediatric patients
Tranexamic Acid Tab SR 750mg,tranexamic acid,0.9071428571428571,100.0,69.76744186046511,Fuzzy,20.02.09,12/3/85,For the treatment of menorrhagia.,"For use in patients with congenital coagulopathies undergoing surgical procedures, e.g. dental extractions"
Diazoxide,diazoxide choline,0.9058823529411765,100.0,69.23076923076923,Fuzzy,1978-August,5/13/14,Antihyertensive agent- indicated for reduction of blood pressure in malignant hypertension.,Treatment of Prader-Willi Syndrome
Bleomycin,Bleomycin sulfate,0.9058823529411765,100.0,69.23076923076923,Fuzzy,1978-October,9/17/93,Cancer specialists,Treatment of malignant pleural effusion.
Desmopressin Acetate tablet 0.1/0.2 mg,Desmopressin acetate,0.9052631578947368,100.0,68.96551724137932,Fuzzy,12.12.08,1/22/91,"For the treatment of cranial diabetes insipidus , primary noctumal enuresis in patients.",Treatment of mild hemophilia A and von Willebrand's disease.
Tinidazole CDDS tab,tinidazole,0.9052631578947368,100.0,68.96551724137932,Fuzzy,25-11-2002,4/18/02,For amoebiasis & giardiasis in adult patients only.,Treatment of giardiasis
Tinidazole infusion,tinidazole,0.9052631578947368,100.0,68.96551724137932,Fuzzy,1990- February,4/18/02,In the treatment of anaerobic infections.,Treatment of giardiasis
Ledipasvir (90mg) + Sofosbuvir (400mg) tablets,ledipasvir/sofosbuvir,0.905,100.0,68.85245901639344,Fuzzy,08.12.15,10/12/16,For the treatment of chronic hepatitis C (CHC) genotype 1 infection in adults.,Treatment of chronic hepatitis C virus (HCV) infection in pediatric patients
Altretamine caps 50mg,Altretamine,0.9047619047619048,100.0,68.75,Fuzzy,29/03/1995,2/9/84,"For palliative treatment of patients with persistent or recurrent ovarian cancer, following first line therapy with cisplatin and/or alkylating agent based combination.",Treatment of advanced adenocarcinoma of the ovary.
Doxorubicin Hcl,Doxorubicin liposome,0.9033333333333333,84.61538461538461,74.28571428571429,Fuzzy,1976-August,11/4/98,Cancer specialists,Treatment of ovarian cancer.
Eflornithine HCl Cream (139mg/gm),Eflornithine HCl,0.9032258064516129,100.0,68.08510638297872,Fuzzy,22/03/2006,4/23/86,For reduction of unwanted facial hair in women.,Treatment of Trypanosoma brucei gambiense infection (sleeping sickness).
Glatiramer Acetate injection (20mg/ml),glatiramer acetate,0.9,100.0,66.66666666666667,Fuzzy,21.02.07,11/9/87,Multiple sclerosis.,Treatment of multiple sclerosis
Ofloxacin infusion,Ofloxacin,0.9,100.0,66.66666666666667,Fuzzy,1991- May,4/18/91,"Indicated in RTI, UTI, gynaecological infection, skin/soft lesion infection.",Treatment of bacterial corneal ulcers.
Aztreonam inj. & bulk,aztreonam,0.9,100.0,66.66666666666667,Fuzzy,1/11/2002,3/12/02,"Urinary tract infection, lower respiratory tract infection, septicemia, skin & skin structure infections, intra abdominal infections, gynecological infections.",Inhalation therapy for control of gram-negative bacteria in the respiratory tract of patients with cystic fibrosis
Clobazam tablets,clobazam,0.9,100.0,66.66666666666667,Fuzzy,11/11/1997,12/18/07,Acute and chronic anxiety states and as an adjunctive therapy in patients with refractory epilepsy.,Treatment of Lennox-Gastaut Syndrome
Epirubicin injection,Epirubicin,0.9,100.0,66.66666666666667,Fuzzy,1986-July,9/14/99,"Anti cancer drug- Indicated in the treatment of breast cancer, malignant lymphomas, soft tissue sarcoma, gastric lung and ovarian carcinomas.",Treatment of breast cancer.
Dexamethasone + indomethacin,dexamethasone,0.9,100.0,66.66666666666667,Fuzzy,1971- November,3/26/18,,Treatment of multiple myeloma (MM)
Baclofen tablets,baclofen,0.9,100.0,66.66666666666667,Fuzzy,29/09/1995,11/10/87,,"Treatment of intractable spasticity caused by spinal cord injury, multiple sclerosis, and other spinal diseases (including spinal ischemia, spinal tumor, transverse myelitis, cervical spondylosis, and degenerative myelopathy)."
Infliximab injection,Infliximab,0.9,100.0,66.66666666666667,Fuzzy,15/07/2004,11/12/03,For additional indication- in maintenance therapy of Crohn's disease & fistulising Crohn's disease.,Treatment of pediatric (0 to 16 years of age) Crohn's Disease
Riluzole tablets,Riluzole,0.9,100.0,66.66666666666667,Fuzzy,17-10-1997 to 17-10-1999,3/16/93,In the treatment of patients with amyotrophic later sclerosis (motor neurone disease).,Treatment of amyotrophic lateral sclerosis.
Hydrocortisone (10%) enema form,Hydrocortisone,0.9,100.0,66.66666666666667,Fuzzy,9/8/1999,5/13/15,For adjunctive therapy in the topical treatment of ulcerative proctitis of the distal portion of the rectum in patients of ulcerative colitis & proctosigmoditis.,Treatment of pediatric adrenal insufficiency (0 through 16 years of age).
Amifostine injection,Amifostine,0.9,100.0,66.66666666666667,Fuzzy,1/9/2004,5/30/90,Shelf life extended 24 months to 36 months.,For use as a chemoprotective agent for cisplatin in the treatment of advanced ovarian carcinoma.
