CDSCO Drug Name,FDA Drug Name,Similarity Score,Token Score,Ratio Score,Match Type,CDSCO Approval Date,FDA Approval Date,CDSCO Indication,FDA Indication
Ganciclovir sodium,Ganciclovir Sodium,1.0,100.0,100.0,Fuzzy,5/4/2000,23/06/1989,For the prevention & treatment of cytomegalo virus disease in immuno compromised individuals and for the prevention of CMV disease in transplant receipients.,
Gefitinib,Gefitinib,1.0,100.0,100.0,Fuzzy,17/02/2004,13/07/2015,Anticancer,For the first-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 (L858R) substitution mutations as detected by an FDA-approved test
Glycopyrrolate,Glycopyrrolate,1.0,100.0,100.0,Fuzzy,1979-December,28/07/2010,"Anaesthetic agent- for use as a pre operative antimuscarine to reduce salivary, tracheobronchial & phyrigeal secretions, arrhythmias & brodycardia associated with reversal o muscle relaxant.",To reduce chronic drooling in patients aged 3 - 16 with neurologic conditions associated with problem drooling (e.g. cerebral palsy)
Ifosfamide,Ifosfamide,1.0,100.0,100.0,Fuzzy,1978-September,30/12/1988,"Anticancer- indicated in the treatment of ovarian, breast, testicular carcinoma, hyper nephrone, pancreatic carcinoma and malignant lymphoma.","In combination with certain other approved antineoplastic agents, for third line chemotherapy in the treatment of germ cell testicular cancer."
Lamotrigine,Lamotrigine,1.0,100.0,100.0,Fuzzy,21-01-2000,24/08/1998,,Adjunctive treatment of Lennox-Gastaut syndrome in pediatric and adult patients.
Mebendazole,Mebendazole,1.0,100.0,100.0,Fuzzy,1974- December,19/10/2016,"Broad spectrum anthelmentic- For the treatment of enterobiasis as carriasis, trichuriasis ancyclostomiasis, strongylodiasis (pin warm, large round warm, whip warm, hooks warm and thread warm.",treatment of patients one year of age and older withgastrointestinal infections caused by Ascaris lumbricoides (roundworm) and Trichuris trichiura (whipworm)
Meloxicam,Meloxicam,1.0,100.0,100.0,Fuzzy,16/02/1999,11/08/2005,For the treatment of rheumatoid arthritis and soteoarthritis.,For relief of the signs and symptoms of pauciarticular or polyarticular course Juvenile Rheumatoid Arthritis in patients 2 years of age or older
Melphalan,Melphalan,1.0,100.0,100.0,Fuzzy,1964- October,18/11/1992,Anti-cancer drug.,For the palliative treatment of patients with multiple myeloma for whom oral melphalan is not appropriate.
Mifepristone,Mifepristone,1.0,100.0,100.0,Fuzzy,13-02-2002,17/02/2012,By gynaecologist only- for medical termination of intrauterine pregnancy through 49 days of inception.,for the control of hyperglycemia secondary to hypercortisolism in adult patients with endogenous Cushing's syndrome who have type 2 diabetes mellitus or glucose intolerance and have failed surgery or are not candidates for surgery.
Mitomycin-C,Mitomycin-C,1.0,100.0,100.0,Fuzzy,1972-December,07/02/2012,,An adjunct to ab externo glaucoma surgery.
Nafarelin acetate,Nafarelin Acetate,1.0,100.0,100.0,Fuzzy,17-03-1999,26/02/1992,Endometriosis and central precarious puberty only (for gynaecologist only),Treatment of central precocious puberty (gonadotropin-dependent precocious puberty) in children of both sexes.
Ofloxacin,Ofloxacin,1.0,100.0,100.0,Fuzzy,1990- February,22/05/1996,"Antibacterial agents- For the treatment of respiratory tract infection, UTI, gynaecological infection, skin or soft tissue infection.",Treatment of bacterial corneal ulcers.
Ribavirin,Ribavirin,1.0,100.0,100.0,Fuzzy,1990- November,29/07/2003,"Anti viral agent- Acute hepatitis, viral respiratory and herpes infection.",Treatment of chronic hepatitis C among previously untreated pediatric patients at least three years of age or older.
Selegiline hcl,Selegiline Hcl,1.0,100.0,100.0,Fuzzy,1991- August,05/06/1989,Parkinsonism- Indicated in the treatment of Parkinson's disease.,
Sotalol,Sotalol (,1.0,100.0,100.0,Fuzzy,1978-August,02/07/2009,"Beta-blocker- indicated in the treatment of angina pectoris, hypertension, cardiac arrythmias.","For use as a substitute for oral sotalol in patients who are unable to take sotalol orally [oral sotalol is indicated for maintenance of normal sinus rhythm in patients with history of highly symptomatic atrial fibrillation /flutter, and for treatment of documented life-threatening ventricular arrhythmias]"
Teriparatide,Teriparatide,1.0,100.0,100.0,Fuzzy,04.09.2003,23/12/1987,For osteoporosis.,
Tetrabenazine,Tetrabenazine,1.0,100.0,100.0,Fuzzy,10/3/1999,15/08/2008,"In treatment of movement disorders associated with organic CNS conditions like Huntington's chorea, hemiballismus and senil chorea.",Treatment of chorea associated with Huntington's disease
Tinidazole,Tinidazole,1.0,100.0,100.0,Fuzzy,1974-February,17/05/2004,Trichomonial agent- for the treatment of trichomoniasis & intestinal amoebiasis.,Treatment of giardiasis caused by G. duodenalis (also termed G. lamblia) in both adults and pediatric patients older than three years of age
Tretinoin,Tretinoin,1.0,100.0,100.0,Fuzzy,1974-July,22/11/1995,Topical acne therapy- For the treatment of Acne vulgaris.,Induction of remission in patients with acute promyelocytic leukemia who are refractory to or unable to tolerate anthracycline based cytotoxic chemotherapeutic regimens.
Lidocaine patch 5%,Lidocaine Patch,0.9764705882352941,100.0,93.75,Fuzzy,31.03.09,19/03/1999,For the relief of pain associated with post-herpetic neuralgia. It should be applied only to intact skin.,
Amphotericin B lipid complex inj.,Amphotericin B Lipid Complex,0.975,100.0,93.33333333333333,Fuzzy,12/7/1996,18/10/1996,By RMP- for the treatment of invasive fungal infection in patients who are refractory to or intolerant of conventional amphotericin-B therapy.,Treatment of invasive fungal infections in patients who are refractory to or intolerant of conventional amphotericin B therapy.
Fenfluramine Hcl,Fenfluramine Hci,0.975,93.75,93.75,Fuzzy,1972-December,25/06/2020,,Fintepla (fenfluramine) is indicated for the treatment of seizures associated with Dravet syndrome in patients 2 years of age and older.
Artemether + Lumifantrine,Artemether/Lumefantrine,0.9735177865612649,95.65217391304348,95.65217391304348,Fuzzy,26/12/2002,07/04/2009,For hospital use only- for treatment of p.falciparum malaria cases resistant to both chloroquine and sulphadoxine pyrimethamine combination.,"Treatment of malaria in patients of 5 kg bodyweight or above with acute, uncomplicated malaria due to Plasmodium falciparum or mixed infections including P. falciparum"
Gemtuzumab ozogamicin inj.,Gemtuzumab Ozogamicin,0.968,100.0,91.30434782608697,Fuzzy,12/9/2002,17/05/2000,Treatment of acute myeloid leukemia,Treatment of patients with CD33 positive acute myeloid leukemia in first relapse who are 60 years of age or older and who are not considered candidates for cytotoxic chemotherapy
Arsenic trioxide inj,Arsenic Trioxide,0.96,100.0,88.88888888888889,Fuzzy,12/6/2003,12/01/2018,For induction of remission and consolidation in patients with acute promyelocytic leukemia.,In combination with tretinoin for treatment of adults with newly-diagnosed low-risk acute promyelocytic leukemia (APL) whose APL is characterized by the presence of the t(15;17) translocation or PML/RAR-alpha gene expression.
Etidronate disodium tabs,Etidronate Disodium,0.9583333333333333,100.0,88.37209302325581,Fuzzy,10/3/1995,21/04/1987,Hypercalcemia induced by various malignant disorders.,
Pilocarpine hcl tab,Pilocarpine Hcl,0.9578947368421054,100.0,88.23529411764706,Fuzzy,13-03-2003,11/02/1998,For treatment of radiation induced xerostomia in patients undergoing radiotherapy of head & neck cancer and in patients with sjogren's syndrome.,Treatment of dry mouth in patients with Sjogren's syndrome.
Aripiprazole tab,Aripiprazole,0.95,100.0,85.71428571428572,Fuzzy,11/6/2003,12/12/2014,For the treatment of schizophrenia.,Treatment of pediatric patients with Tourette's
Mefloquine hcl tabs,Mefloquine Hcl,0.9473684210526316,100.0,84.84848484848484,Fuzzy,3/3/1997,03/05/1989,Used in severe malaria including cerebral malaria and as a second line chloroquine resistant malaria cases only.,Prophylaxis of Plasmodium falciparum malaria which is resistant to other available drugs
Naltrexone hcl tabs,Naltrexone Hcl,0.9473684210526316,100.0,84.84848484848484,Fuzzy,11/10/1996,30/11/1984,In the treatment of narcotic antagonist and alcohol dependence.,
Basiliximab inj.,Basiliximab,0.9466666666666667,100.0,84.61538461538461,Fuzzy,28-05-1999,12/05/1998,For the prophylaxis of acute organ rejection in de-novo transplantation & is to be used concomitantly with cyclosporin for microemulsion & corticosteroid immuno suppression.,Prophylaxis of acute organ rejection in patients receiving renal transplantation when used as part of an immunosuppressive regimen that includes cyclosporine and corticosteroids.
Hydroxyurea USP,Hydroxyurea,0.9466666666666667,100.0,84.61538461538461,Fuzzy,1971- January,25/02/1998,Anti neuplastic agent.,To reduce the frequency of painful crises and to reduce the need for blood transfusions in adult patients with sickle cell anemia with recurrent moderate to severe painful crises (generally at least 3 during the preceding 12 months).
Pilocarpine gel,Pilocarpine,0.9466666666666667,100.0,84.61538461538461,Fuzzy,24-06-1999,22/03/1994,For the management of intraocular pressure in glaucoma,Treatment of symptoms of xerostomia from salivary gland hypofunction caused by radiotherapy for cancer of the head and neck.
Magestrol acetate,Megestrol Acetate,0.9459558823529411,94.11764705882354,94.11764705882352,Fuzzy,1964- April,10/09/1993,Progestational,"Treatment of anorexia, cachexia, or an unexplained significant weight loss in patients with a diagnosis of acquired immune deficiency syndrome."
Artesunate inj.,Artesunate,0.9428571428571428,100.0,83.33333333333334,Fuzzy,2/9/1996,26/05/2020,Promoted for use in severe malaria including cerebral malaria and as a second line in chloroquine resistant malaria cases only.,Artesunate for Injection is indicated for the initial treatment of severe malaria in adult and pediatric patients. Treatment of severe malaria with Artesunate for Injection should always be followed by a complete treatment course of an appropriate oral antimalarial regimen.
Exemestane tab,Exemestane,0.9428571428571428,100.0,83.33333333333334,Fuzzy,18-10-2001,21/10/1999,For Treatment of advanced breast cancer in post menopausal women whose disease has progressed following Tamoxifen therapy.,Treatment of advanced breast cancer in postmenopausal women whose disease has progressed following tamoxifen therapy.
Infliximab inj.,Infliximab,0.9428571428571428,100.0,83.33333333333334,Fuzzy,4/10/2001,19/05/2006,Reduction of signs & symptoms of rheumatoid arthritis in patients who have an inadequate response to methotrexate (additional indication).,For reducing signs and symptoms and inducing and maintaining clinical remission in pediatric patients with moderately to severely active Crohn's disease who have had an inadequate response to conventional therapy
Paclitaxel inj.,Paclitaxel,0.9428571428571428,100.0,83.33333333333334,Fuzzy,25/08/1994,04/08/1997,Advanced epithelial carcinoma of the ovary after failure of first line or subsequent chemotherapy.,For the second line treatment of AIDS-related Kaposi's sarcoma.
Raloxifene hcl,Raloxifene,0.9428571428571428,100.0,83.33333333333334,Fuzzy,4/5/2001,13/09/2007,For the treatment and prevention of post menopausal osteoporosis in women.,Reduction in risk of invasive breast cancer in postmenopausal women with osteoporosis and reduction in risk of invasive breast cancer in postmenopausal women at high risk for invasive breast cancer
Zidovudine tab,Zidovudine,0.9428571428571428,100.0,83.33333333333334,Fuzzy,18/12/1998,19/03/1987,Additional strength for HIV.,Management of certain adult patients with symptomatic HIV infection (AIDS and advanced ARC) who have a history of cytologically confirmed Pneumocytis carinii pneumonia (PCP) or an absolute CD4 (T4 helper/induccer) lymphocyte count of less than 200/mm in the peripheral blood before therapy is begun
Metronidazole tab,Metronidazole (Topical),0.9406162464985994,86.66666666666667,84.21052631578947,Fuzzy,7/2/2002,22/11/1988,Removal of warning of carcinogenicity in rodents.,
Clonidine Hcl,Clonidine,0.9384615384615385,100.0,81.81818181818181,Fuzzy,1975-July,02/10/1996,,In combination with opiates for the treatment of severe pain in cancer patients that is not adequately relieved by opioid analgesics alone.
Sirolimus tab,Sirolimus,0.9384615384615385,100.0,81.81818181818181,Fuzzy,31-12-2002,28/05/2015,For prophylaxis of organ rejection in patients receiving renal transplant along with the regimens of cyclosporins & corticosteroids.,Treatment of lymphangioleiomyomatosis (LAM)
Thalidomide caps,Thalidomide,0.9375,100.0,81.4814814814815,Fuzzy,12/8/2002,25/05/2006,For acute treatment of the cutaneous manifestation of moderate to severe erythema nodosum loprosum and for the treatment of multiple myeloma.,Treatment of patients with newly diagnosed multiple myeloma
Doxorubicin Hcl liposomal injection,Doxorubicin Hcl Liposome,0.9371428571428572,77.96610169491525,81.35593220338984,Fuzzy,2005-April,17/05/2007,"For additional indication; in the treatment of metastatic breast cancer, where there is an increased cardiac risk.",For use in combination with bortezomib for the treatment of patients with multiple myeloma who have not previously received bortezomib and have at least one prior therapy.
Somatropin (rDNA) injection,Somatropin (Rdna Origin),0.9318181818181818,81.08108108108108,80.85106382978724,Fuzzy,25/11/2004,22/12/1999,"For additional indication; i)-for treatment of adult onset or childhood onset, adult growth hormone deficiency, ii)-long term treatment of idiopathic short stature also called non growth hormone deficient short stature. Shelf life increase 24 months to 36Þ¡",Long-term treatment of growth failure due to a lack of adequate endogenous growth hormone secetion for once- or twice-a-month administration.
Leuprolide acetate depot inj.,Leuprolide Acetate,0.9285714285714286,100.0,78.26086956521739,Fuzzy,17-07-2001,16/04/1993,For additional indicatio; of endometriosis & uterine leiomyomata in women.,Treatment of children with central precocious puberty
Pentosan polysulfate Sodium CapsulesÂ  100mg,Pentosan Polysulfate Sodium,0.9255813953488373,100.0,77.14285714285715,Fuzzy,11.05.10,26/09/1996,For the relief of bladder pain or discomfort associated with interstitial cystitis.,Relief of bladder pain or discomfort associated with interstitial cystitis.
Dexamethasone tablets,Dexamethasone,0.9238095238095239,100.0,76.47058823529412,Fuzzy,2/11/2004,03/10/2019,Oncologists only- for steroid responsive neoplastic disease like leukemias and lymphomas in adults only.,HEMADY is indicated in combination with other anti-myeloma products for the treatment of adults with multiple myeloma
Allopurinol,Allopurinol Sodium,0.9222222222222222,100.0,75.86206896551724,Fuzzy,1969- March,17/05/1996,In the treatment of gout and secondry hyperuricaemia.,"Management of patients with leukemia, lymphoma, and solid tumor malignancies who are receiving cancer therapy which causes elevations of serum and urinary uric acid levels and who cannot tolerate oral therapy."
Regorafenib Tablet,Regorafenib,0.9222222222222222,100.0,75.86206896551724,Fuzzy,01.07.14,25/02/2013,"For the â??treatment of patients with metastatic colorectal cancer (CRC) who have been previously treated with fluoropyrimidine-, oxaliplatin- and irinotecan-based chemotherapy, an anti-VEGF therapy, and, if KRAS wild type, an anti-EGFR therapyâ?�.","Treatment of patients with locally advanced, unresectable or metastatic gastrointestinal stromal tumor (GIST) who have been previously treated with imatinib mesylate and sunitinib malate."
Fludarabine Phosphate for Injection,Fludarabine Phosphate,0.92,100.0,75.0,Fuzzy,22/06/1999,18/04/1991,The treatment of patients with B-cell chronic lymphocytic leukaemia (CLL) who have not responded to at least one standard alkylating agent containing regimen.,
Fosphenytoin sod. Inj.,Fosphenytoin,0.92,100.0,75.0,Fuzzy,1/10/2002,05/08/1996,"Generalized convulsive status epilepticus, prevention & treatment of seizures occurring during neurosurgery & head injury when other means of phenytoin administration are unavailable, inappropriate or less advantageous.",For the control of generalized convulsive status epilepticus.
Rosuvastatin calcium,Rosuvastatin,0.92,100.0,75.0,Fuzzy,2003,27/05/2016,,"An adjunct to diet to reduce LDL-C, Total-C, nonHDL-C and ApoB in children and adolescents 7 to 17 years of age with homozygous familial hypercholesterolemia, either alone or with other lipid-lowering treatments (e.g., LDL apheresis)."
Miltefosine capsule,Miltefosine,0.9157894736842105,100.0,73.33333333333334,Fuzzy,15/03/2002,19/03/2014,For the treatment of visceral leishmaniasis.,"Treatment of visceral leishmaniasis due to Leishmania donovani; cutaneous leishmaniasis due to Leishmania braziliensis, Leishmania guyanensis, and Leishmania panamensis; and mucosal leishmaniasis due to Leishmania braziliensis."
Somatropin injection (rDNA),Somatropin (R-Dna),0.9155000000000001,76.92307692307692,73.17073170731707,Fuzzy,4/2/1998,01/12/2003,Longterm treatment of children who have growth failure failure due to inadequate secretion of normal endogenous growth hormone and for treatment of short stature in children with Turner's syndrome confirmed by chromosomal analysis.,Treatment of short bowel syndrome in patients receiving specialized nutritional support
Interferon alpha 2b injection.,Interferon Alfa-2B (Recombinant),0.9150804597701149,74.57627118644068,74.57627118644068,Fuzzy,1988-May,21/11/1988,Anti cancer- Indicated in the treatment of multiple myeloma hairy cell leukaemia etc.,Treatment of selected patients with AIDS-related Kaposi's sarcoma.
Recombinant human erythropoietin,Recombinant Human Antithrombin,0.9127564102564102,77.41935483870968,77.41935483870968,Fuzzy,7/2/2000,06/02/2009,For addition indication of autologous blood donation in case of anaemia due to chronic renal failure and anemia associated with cancer.,"Prevention of peri-operative and peri-partum thromboembolic events, in hereditary antithrombin deficient patients."
Ibuprofen,Ibuprofen Lysine,0.9125,100.0,72.0,Fuzzy,1979-April,13/04/2006,,"For closure of a clinically significant patent ductus arteriosus in premature infants weighing between 500 and 1500 g, who are no more than 32 weeks gestational age when usual medical management (e.g., fluid restriction, diuretics, respiratory support, etc.) is ineffective"
Midazolam inj. BP,Midazolam,0.9125,100.0,72.0,Fuzzy,15/04/1997,17/05/2019,Anaesthetic general-For preoperative sedation for conscious sedation prior to short diagnostic or endoscopic procedure and for induction of general anaesthesia prior to administration of another anaesthetic agent.,"NAYZILAM is indicated for the acute treatment of intermittent, stereotypic episodes of frequent seizure activity (i.e., seizure clusters, acute repetitive seizures) that are distinct from a patients usual seizure pattern in patients with epilepsy 12 years of age and older."
Imatinib mesilate capsules,Imatinib Mesylate,0.9113122171945701,74.4186046511628,74.4186046511628,Fuzzy,4/12/2001,19/12/2008,Oncologists only- for chronic myeloid leukemia (CML) in blast crisis accelerated phase or in chronic phase after failure of IFN-alfa therapy.,Adjuvant treatment of adult patients following complete resection Kit (CD 117) positive gastrointestinal stromal tumors (GIST).
Balsalazide disod.cap & bulk import,Balsalazide Disodium,0.9112121212121211,71.69811320754717,71.69811320754718,Fuzzy,12/11/2002,20/12/2006,Mild to moderately active ulcerative colitis.,Treatment of mildly to moderately active ulcerative colitis in patients 5 years of age and older. Safety and Effectiveness of Colazal beyond 8 weeks in children (ages 5-17) and 12 weeks in adults have not been established.
Everolimus tablets,Everolimus,0.9111111111111111,100.0,71.42857142857143,Fuzzy,2004-August,26/02/2016,By nephrologists only- for the prophylaxis of organ rejection in patients at low to moderate immunological risks receiving allogenic renal transplants in combination with cyclosporin & corticosteroids.,"Treatment of adult patients with progressive neuroendocrine tumors of pancreatic origin (PNET) in patients with unresectable, locally advanced or metastatic disease; and treatment of adult patients with progressive, well-differentiated, non-functional, neuroendocrine tumors (NET) of gastrointestinal (GI) or lung origin, with unresectable, locally advanced or metastatic disease."
Sildenafil citrate,Sildenafil,0.9111111111111111,100.0,71.42857142857143,Fuzzy,8/1/2001,31/01/2023,"By urologist, psychiatrist, endocrinologist-for treatment of erectile dysfunction in men.","treatment of pulmonary arterial hypertension (PAH) (WHO Group I) in pediatric patients 1 to 17 years old to improve exercise ability and, in pediatric patients too young to perform standardized exercise testing, pulmonary hemodynamics thought to underly improvements in exercise"
Tranexamic acid tablets/inj.,Tranexamic Acid,0.9111111111111111,100.0,71.42857142857143,Fuzzy,6/6/2003,30/12/1986,"Additional indication-abnormal bleeding in which local hyperfibrinolysis is considered to be involved (pulmonary, haemorrhage, epistaxis, renal bleeding abnormal bleeding during or after prostate surgery).",Treatment of patients with hemophilia for short term use (2 to 8 days) before and after tooth extraction to reduce or prevent hemorrhage abd reduce the need for replacement therapy
Dexamethasone Intravitreal implant 0.7mg (Additional Indication),Dexamethasone Intravitreal Implant,0.9096774193548387,100.0,70.83333333333333,Fuzzy,12.10.15,24/09/2010,"For the treatment of visual impairment due to Diabetic Macular Edema (DME) who are pseudophakic or who are considered insufficiently responsive to, or unsuitable for non-corticosteroid therapy.",For treatment of non-infectious uveitis affecting the posterior segment of the eye
Fluocinolone acetonide,Fluocinolone,0.9090909090909091,100.0,70.58823529411764,Fuzzy,1962- August,08/04/2005,Corticosteroid,Treatment of chronic non-infectious uveitis affecting the posterior segment of the eye
Mitoxantrone bulk drug,Mitoxantrone,0.9090909090909091,100.0,70.58823529411764,Fuzzy,1989-March,13/10/2000,,"Reducing neurologic disability and/or the frequency of clinical relapses in patients with secondary (chronic) progressive, progressive relapsing, or worsening relapsing-remitting multiple sclerosis (i.e., patients whose neurologic status is significantly adnormal between relapses)."
Sodium picosulphate,Sodium Thiosulfate,0.9086988304093567,81.08108108108108,81.08108108108108,Fuzzy,11/2/1997,20/09/2022,"Constipation bowel clearance before labour or surgery, radiological examination.","To reduce the risk of ototoxicity associated with cisplatin in pediatric patients 1 month of age and older with localized, non-metastatic solid tumors"
Bleomycin,Bleomycin Sulfate,0.9058823529411765,100.0,69.23076923076923,Fuzzy,1978-October,20/02/1996,Cancer specialists,Treatment of malignant pleural effusion.
Diazoxide,Diazoxide Choline,0.9058823529411765,100.0,69.23076923076923,Fuzzy,1978-August,26/03/2025,Antihyertensive agent- indicated for reduction of blood pressure in malignant hypertension.,treatment of hyperphagia in adults and pediatric patients 4 years of age and older with Prader-Willi syndrome (PWS)
Desmopressin Acetate tablet 0.1/0.2 mg,Desmopressin Acetate,0.9052631578947368,100.0,68.96551724137932,Fuzzy,12.12.08,07/03/1994,"For the treatment of cranial diabetes insipidus , primary noctumal enuresis in patients.",Treatment of patients with hemophilia A or von Willebrand's disease (type I) whose factor VIII coagulant activity level is greater than 5%.
Ledipasvir (90mg) + Sofosbuvir (400mg) tablets,Ledipasvir/Sofosbuvir,0.905,100.0,68.85245901639344,Fuzzy,08.12.15,28/08/2019,For the treatment of chronic hepatitis C (CHC) genotype 1 infection in adults.,"HARVONI is indicated for the treatment of adults and pediatric patients 3 years of age and older with chronic hepatitis C virus (HCV) genotype 1, 4, 5, or 6 infection without cirrhosis or with compensated cirrhosis, genotype 1 infection with decompensated cirrhosis, for use in combination with ribavirin, and genotype 1 or 4 infection who are liver transplant recipients without cirrhosis or with compensated cirrhosis, for use in combination with ribavirin"
Altretamine caps 50mg,Altretamine,0.9047619047619048,100.0,68.75,Fuzzy,29/03/1995,26/12/1990,"For palliative treatment of patients with persistent or recurrent ovarian cancer, following first line therapy with cisplatin and/or alkylating agent based combination.",Single agent palliative treatment of patients with persistent or recurrent ovarian cancer following first-line therapy with a cisplatin and/or alkylating agent based combination.
Eflornithine HCl Cream (139mg/gm),Eflornithine Hcl,0.9032258064516129,100.0,68.08510638297872,Fuzzy,22/03/2006,28/11/1990,For reduction of unwanted facial hair in women.,
Alendronate sodium,Dantrolene Sodium,0.903050108932462,74.28571428571428,74.28571428571429,Fuzzy,16-05-2001,22/07/2014,By RMP- for treatment & prevention of osteoporosis in post menopausal women.,Treatment of malignant hyperthermia in conjunction with appropriate supportive measures and for the prevention of malignant hyperthermia in patients at high risk.
Aztreonam inj. & bulk,Aztreonam,0.9,100.0,66.66666666666667,Fuzzy,1/11/2002,22/02/2010,"Urinary tract infection, lower respiratory tract infection, septicemia, skin & skin structure infections, intra abdominal infections, gynecological infections.",To improve respiratory symptoms in cystic fibrosis (CF) patients with Pseudomonas aeruginosa
Baclofen tablets,Baclofen,0.9,100.0,66.66666666666667,Fuzzy,29/09/1995,25/06/1992,,Management of severe spasticity of spinal cord origin in patients who are unresponsive to oral baclofen therapy or experience intolerable CNS side effects at effective doses.
Clobazam tablets,Clobazam,0.9,100.0,66.66666666666667,Fuzzy,11/11/1997,21/10/2011,Acute and chronic anxiety states and as an adjunctive therapy in patients with refractory epilepsy.,Adjunctive treatment of seizures associated with Lennox-Gastaut Syndrome inpatients 2 years of age or older
Cytarabine,Cytarabine Liposomal,0.9,100.0,66.66666666666667,Fuzzy,1980-June,01/04/1999,Anticancer indicated in the treatment of acue myeloid leukaemia,Intrathecal treatment of lymphomatous meningitis.
Epirubicin injection,Epirubicin,0.9,100.0,66.66666666666667,Fuzzy,1986-July,15/09/1999,"Anti cancer drug- Indicated in the treatment of breast cancer, malignant lymphomas, soft tissue sarcoma, gastric lung and ovarian carcinomas.",Component of adjuvant therapy in patients with evidence of axillary node tumor involvement following resection of primary breast cancer.
Glatiramer Acetate injection (20mg/ml),Glatiramer Acetate,0.9,100.0,66.66666666666667,Fuzzy,21.02.07,20/12/1996,Multiple sclerosis.,For reduction of the frequency of relapses in patients with relapsing-remitting multiple sclerosis.
Hydrocortisone (10%) enema form,Hydrocortisone,0.9,100.0,66.66666666666667,Fuzzy,9/8/1999,29/09/2020,For adjunctive therapy in the topical treatment of ulcerative proctitis of the distal portion of the rectum in patients of ulcerative colitis & proctosigmoditis.,ALKINDI SPRINKLE is indicated as replacement therapy in pediatric patients with adrenocortical insufficiency
Riluzole tablets,Riluzole,0.9,100.0,66.66666666666667,Fuzzy,17-10-1997 to 17-10-1999,12/12/1995,In the treatment of patients with amyotrophic later sclerosis (motor neurone disease).,Treatment of patients with amyotrophic lateral sclerosis. Riluzole extends survival and/or time to tracheostomy.
Zinc glucoheptonate,Zinc Acetate,0.8991228070175439,70.96774193548387,70.96774193548387,Fuzzy,1963- February,28/01/1997,Mineral supplement.,For maintenance treatment of patients with Wilson's disease who have been initially treated with a chelating agent.
Sodium Cromoglycate,Sodium Oxybate,0.8977443609022556,72.72727272727272,72.72727272727273,Fuzzy,1976-May,01/05/2023,,Treatment of cataplexy or excessive daytime sleepiness (EDS) in adults with narcolepsy
Edaravone injection,Edaravone,0.8947368421052632,100.0,64.28571428571428,Fuzzy,27.07.07,05/05/2017,"For the improvement of neurological symptoms, disorder of activities of daily living, and functional disorder associated with acute ischaemic stroke.",Treatment of amyotrophic lateral sclerosis (ALS)
Somatropin (recombinant) inj.,Somatropin [Rdna],0.8943589743589744,80.0,68.29268292682926,Fuzzy,23/11/2001,25/07/2001,Short stature due to inadequate or failed secretion of pituitary growth hormone.,For long-term treatment of growth failure in children born small for gestational age who fail to manifest catch-up growth by two years of age.
